Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,
27/08/2020,114.21,114.21,114.21,114.21,102.97,-,,,,,,,,,,,,,
28/08/2020,114.13,114.14,114.13,114.29,103.05,124,,,,,,,,,,,,,
01/09/2020,115.28,115.28,113.96,114.53,103.26,2201,,,,,,,,,,,,,
02/09/2020,115.06,115.06,115.06,115.06,103.74,-,,,,,,,,,,,,,
03/09/2020,114.9,114.9,114.9,115.15,103.82,7,,,,,,,,,,,,,
04/09/2020,115.22,115.22,115.22,114.71,103.42,62,,,,,,,,,,,,,
07/09/2020,114.6,114.6,114.6,114.6,103.33,-,,,,,,,,,,,,,
08/09/2020,114.68,114.68,114.68,114.68,103.4,-,,,,,,,,,,,,,
09/09/2020,114.8,114.8,114.69,114.52,103.25,1270,,,,,,,,,,,,,
10/09/2020,114.4,114.4,114.4,114.4,103.15,-,,,,,,,,,,,,,
11/09/2020,115.16,115.24,114.43,114.7,103.42,7427,,,,,,,,,,,,,
14/09/2020,115,115,115,114.81,103.52,1040,,,,,,,,,,,,,
15/09/2020,114.73,114.73,114.73,114.83,103.53,8,,,,,,,,,,,,,
16/09/2020,115.43,115.43,114.73,114.69,103.41,4189,,,,,,,,,,,,,
17/09/2020,114.76,114.76,114.76,114.76,103.48,-,,,,,,,,,,,,,
18/09/2020,114.6,114.9,114.6,114.65,103.37,3109,,,,,,,,,,,,,
21/09/2020,115.35,115.35,114.94,114.65,103.38,13,,,,,,,,,,,,,
22/09/2020,114.83,114.83,114.83,114.57,103.3,835,,,,,,,,,,,,,
23/09/2020,114.48,114.48,114.48,114.48,103.22,-,,,,,,,,,,,,,
24/09/2020,114.61,114.62,114.61,114.44,103.19,396,,,,,,,,,,,,,
25/09/2020,114.41,114.41,114.41,114.41,103.16,-,,,,,,,,,,,,,
28/09/2020,115.15,115.15,114.67,114.5,103.24,13,,,,,,,,,,,,,
29/09/2020,114.7,114.77,114.7,114.62,103.34,131,,,,,,,,,,,,,
30/09/2020,114.37,114.37,114.37,114.37,103.12,-,,,,,,,,,,,,,
01/10/2020,114.46,114.46,114.46,114.46,103.21,-,,,,,,,,,,,,,
02/10/2020,114.41,114.41,114.41,114.41,103.16,-,,,,,,,,,,,,,
05/10/2020,114.2,114.2,114.2,114.2,102.97,-,,,,,,,,,,,,,
06/10/2020,114.32,114.32,114,114.07,102.85,544,,,,,,,,,,,,,
07/10/2020,114.14,114.14,114.14,114.14,102.92,-,,,,,,,,,,,,,
08/10/2020,114.32,114.32,114.32,114.18,102.95,35,,,,,,,,,,,,,
09/10/2020,114.33,114.33,114.33,114.33,103.08,-,,,,,,,,,,,,,
12/10/2020,114.84,114.84,114.84,114.33,103.08,411,,,,,,,,,,,,,
13/10/2020,114.75,114.75,114.34,114.34,103.09,19430,,,,,,,,,,,,,
14/10/2020,114.6,114.6,114.6,114.6,103.32,-,,,,,,,,,,,,,
15/10/2020,114.5,114.83,114.5,114.61,103.34,13079,,,,,,,,,,,,,
16/10/2020,114.5,114.5,114.5,114.5,103.23,-,,,,,,,,,,,,,
19/10/2020,114.39,114.48,114.36,114.29,103.04,76,,,,,,,,,,,,,
20/10/2020,114,114.33,114,114.17,102.93,322,,,,,,,,,,,,,
21/10/2020,114.3,114.3,114.3,114.18,102.95,187,,,,,,,,,,,,,
