,BlackRock Multi,iShares iBoxx,BlackRock EDF,iShares 20+,Vanguard EIF,Cash
,,,,,,
04/06/2018,8.434699059,66.87335205,12.94721985,107.7708588,26.30439186,22.04496751
,,,,,,
05/06/2018,8.434699059,66.95166779,12.9129982,108.0235214,26.27588463,22.04599356
,,,,,,
06/06/2018,8.442526817,67.11621094,13.03277302,107.1482315,26.45404434,22.04701966
,,,,,,
07/06/2018,8.442526817,67.13968658,13.06699657,108.1859512,26.48968315,22.0480458
,,,,,,
08/06/2018,8.442526817,67.1005249,13.10692024,107.8611145,26.57520485,22.04907199
,,,,,,
11/06/2018,8.450344086,67.22586823,13.11832905,107.6625519,26.60371399,22.05215086
,,,,,,
12/06/2018,8.450344086,67.28070068,13.06699657,107.6896286,26.57520485,22.05317724
,,,,,,
13/06/2018,8.434699059,67.30419159,13.06129169,107.6355286,26.41841125,22.05420367
,,,,,,
14/06/2018,8.442526817,67.50003815,13.03847694,108.5288544,26.41841125,22.05523015
,,,,,,
15/06/2018,8.426878929,67.46086121,13.02136707,108.6281281,26.41339302,22.05637744
,,,,,,
18/06/2018,8.419050217,67.45301056,12.99284744,108.5288544,26.30575371,22.05981969
,,,,,,
19/06/2018,8.395579338,67.35902405,12.95292187,109.1605148,26.23400307,22.06096722
,,,,,,
20/06/2018,8.403402328,67.42952728,12.94151592,108.2040024,26.24835014,22.06212085
,,,,,,
21/06/2018,8.37992382,67.28851318,12.89588451,108.7725143,26.07613945,22.06328059
,,,,,,
22/06/2018,8.395579338,67.29636383,12.98714256,108.7634888,26.22682571,22.06444038
,,,,,,
25/06/2018,8.356456757,67.13968658,12.85025597,109.0071335,25.9900322,22.06792013
,,,,,,
26/06/2018,8.364282608,67.13186646,12.8559618,109.1605148,26.00438499,22.06908017
,,,,,,
27/06/2018,8.340807915,66.99085999,12.78181362,110.189209,25.83934212,22.07024027
,,,,,,
28/06/2018,8.332983017,66.80284119,12.83314514,110.216301,25.97568893,22.07139439
,,,,,,
